name,value,type
Indian Rupee,1416395.769,fiat
Japanese Yen,2346452.408,fiat
South Korean Won,22408257.412,fiat
Kuwaiti Dinar,5270.708,fiat
Sri Lankan Rupee,6318310.067,fiat
Burmese Kyat,36104621.66,fiat
Mexican Peso,339782.488,fiat
Malaysian Ringgit,75655.164,fiat
Nigerian Naira,7624891.391,fiat
Norwegian Krone,171899.667,fiat
New Zealand Dollar,26790.415,fiat
Philippine Peso,951380.643,fiat
Pakistani Rupee,3863191.841,fiat
Polish Zloty,76497.877,fiat
Russian Ruble,1074050.815,fiat
Saudi Riyal,64601.16,fiat
Swedish Krona,177822.709,fiat
Singapore Dollar,23297.014,fiat
Thai Baht,594877.186,fiat
Turkish Lira,320438.751,fiat
New Taiwan Dollar,527596.628,fiat
Ukrainian hryvnia,631744.058,fiat
Venezuelan bolívar fuerte,1720.302,fiat
Vietnamese đồng,408900401.312,fiat
South African Rand,298160.379,fiat
IMF Special Drawing Rights,12972.055,fiat
Silver - Troy Ounce,731.716,commodity
Gold - Troy Ounce,9.559,commodity
Bits,1000000,crypto
Satoshi,100000000,crypto
Bitcoin,1,crypto
Ether,13.494,crypto
Litecoin,224.48,crypto
Bitcoin Cash,156.876,crypto
Binance Coin,59.546,crypto
EOS,16597.254,crypto
XRP,44178.484,crypto
Lumens,200827.683,crypto
Chainlink,2498.443,crypto
Polkadot,3240.738,crypto
Yearn.finance,2.489,crypto
US Dollar,17180.539,fiat
United Arab Emirates Dirham,63104.123,fiat
Argentine Peso,2919460.201,fiat
Australian Dollar,25276.646,fiat
Bangladeshi Taka,1776847.124,fiat
Bahraini Dinar,6467.236,fiat
Bermudian Dollar,17180.539,fiat
Brazil Real,89991.668,fiat
Canadian Dollar,23584.586,fiat
Swiss Franc,16065.54,fiat
Chilean Peso,14807563.758,fiat
Chinese Yuan,119537.042,fiat
Czech Koruna,395875.719,fiat
Danish Krone,121328.973,fiat
Euro,16298.009,fiat
British Pound Sterling,14016.348,fiat
Hong Kong Dollar,133768.542,fiat
Hungarian Forint,6827890.18,fiat
Indonesian Rupiah,268067964.597,fiat
Israeli New Shekel,58741.125,fiat
Indian Rupee,1416383.469,fiat
Japanese Yen,2346432.032,fiat
South Korean Won,22408062.82,fiat
Kuwaiti Dinar,5270.663,fiat
Sri Lankan Rupee,6318255.2,fiat
Burmese Kyat,36104308.129,fiat
Mexican Peso,339779.538,fiat
Malaysian Ringgit,75654.507,fiat
Nigerian Naira,7624825.177,fiat
Norwegian Krone,171898.174,fiat
New Zealand Dollar,26790.182,fiat
Philippine Peso,951372.381,fiat
Pakistani Rupee,3863158.294,fiat
Polish Zloty,76497.213,fiat
Russian Ruble,1074041.488,fiat
Saudi Riyal,64600.599,fiat
Swedish Krona,177821.165,fiat
Singapore Dollar,23296.812,fiat
Thai Baht,594872.02,fiat
Turkish Lira,320435.968,fiat
New Taiwan Dollar,527592.046,fiat
Ukrainian hryvnia,631738.572,fiat
Venezuelan bolívar fuerte,1720.287,fiat
Vietnamese đồng,408896850.44,fiat
South African Rand,298157.79,fiat
IMF Special Drawing Rights,12971.943,fiat
Silver - Troy Ounce,731.71,commodity
Gold - Troy Ounce,9.559,commodity
Bits,1000000,crypto
Satoshi,100000000,crypto
Bitcoin,1,crypto
Ether,13.491,crypto
Litecoin,224.383,crypto
Bitcoin Cash,156.871,crypto
Binance Coin,59.54,crypto
EOS,16591.652,crypto
XRP,44177.561,crypto
Lumens,200778.581,crypto
Chainlink,2497.329,crypto
Polkadot,3240.963,crypto
Yearn.finance,2.489,crypto
US Dollar,17180.385,fiat
United Arab Emirates Dirham,63103.557,fiat
Argentine Peso,2919434.031,fiat
Australian Dollar,25276.419,fiat
Bangladeshi Taka,1776831.196,fiat
Bahraini Dinar,6467.178,fiat
Bermudian Dollar,17180.385,fiat
Brazil Real,89990.861,fiat
Canadian Dollar,23584.374,fiat
Swiss Franc,16065.396,fiat
Chilean Peso,14807431.024,fiat
Chinese Yuan,119535.971,fiat
Czech Koruna,395872.17,fiat
Danish Krone,121327.885,fiat
Euro,16297.863,fiat
British Pound Sterling,14016.222,fiat
Hong Kong Dollar,133767.343,fiat
Hungarian Forint,6827828.975,fiat
Indonesian Rupiah,268065561.643,fiat
Israeli New Shekel,58740.598,fiat
Indian Rupee,1416370.773,fiat
Japanese Yen,2346410.998,fiat
South Korean Won,22407861.955,fiat
Kuwaiti Dinar,5270.615,fiat
Sri Lankan Rupee,6318198.563,fiat
Burmese Kyat,36103984.491,fiat
Mexican Peso,339776.492,fiat
Malaysian Ringgit,75653.829,fiat
Nigerian Naira,7624756.828,fiat
Norwegian Krone,171896.633,fiat
New Zealand Dollar,26789.942,fiat
Philippine Peso,951363.853,fiat
Pakistani Rupee,3863123.664,fiat
Polish Zloty,76496.527,fiat
Russian Ruble,1074031.86,fiat
